date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
12/5/2021,82,72,72,100,99,87,70,98,24060,25680,1620,4860,9180,10020,101,94,240,12540,2021-12-04T23:33:16.000-05:00,2021-12-05T06:41:16.000-05:00,58.93,51,67,-0.11,0.13,12.5,89,79,95,78,96,98,674,2879,7011,10796,31320,28860,13920,4740,60,7500,1.5625,1,76,78,58,85,82,100,77,None,100
12/6/2021,74,63,47,100,90,74,70,96,19800,21780,1980,3180,9000,7620,122,91,240,10830,2021-12-05T22:35:33.000-05:00,2021-12-06T04:38:33.000-05:00,54.44,47,52,0.07,0.13,12.375,86,63,60,95,100,100,699,2921,6460,11547,38760,24840,13200,4680,180,4740,1.59375,3,66,59,60,86,77,99,57,None,72
12/7/2021,76,63,55,97,95,78,67,100,19800,21240,1440,3690,9810,6300,111,93,180,10560,2021-12-06T22:33:48.000-05:00,2021-12-07T04:27:48.000-05:00,58.17,49,55,-0.26,0.04,11.625,87,63,100,95,100,99,213,2398,4814,3341,38460,18600,11520,960,0,16860,1.34375,0,69,64,61,76,73,96,74,None,82
12/8/2021,68,39,41,97,98,85,75,100,15990,17220,1230,2820,6960,6210,82,93,390,8640,2021-12-08T00:14:45.000-05:00,2021-12-08T05:01:45.000-05:00,54.79,48,67,None,0.04,12.625,92,58,100,95,100,100,714,2950,6848,11582,41220,23640,12240,3420,1620,4260,1.625,0,65,45,56,94,80,100,66,None,74
12/9/2021,82,74,52,98,90,84,83,100,22500,24900,2400,3540,11760,7200,120,90,540,12420,2021-12-08T22:50:30.000-05:00,2021-12-09T05:45:30.000-05:00,55.94,49,55,0.01,0.07,12.875,94,67,100,95,100,99,244,2423,5332,4042,39780,27540,12480,960,0,5640,1.34375,0,71,80,59,49,74,100,66,87,92
12/10/2021,70,49,44,95,83,78,83,100,16320,18840,2520,3000,9420,3900,90,87,540,9060,2021-12-09T22:41:53.000-05:00,2021-12-10T03:55:53.000-05:00,55.82,49,50,0.05,0.13,12.5,90,49,95,95,100,98,481,2696,6347,8082,46620,18960,12720,3120,0,4980,1.5,1,71,50,56,93,80,100,67,86,95
12/11/2021,74,66,84,98,44,72,83,95,22620,33240,10620,5610,9570,7440,111,68,570,15360,2021-12-10T22:53:05.000-05:00,2021-12-11T08:07:05.000-05:00,52.96,42,73,0.15,0.16,12.625,97,88,100,95,100,98,533,2715,12469,9940,30480,28380,16440,3660,120,7320,1.5,0,62,61,58,78,80,91,39,87,38
12/12/2021,73,62,38,99,83,72,81,100,21630,25560,3930,2580,10620,8430,84,85,510,12420,2021-12-11T22:49:02.000-05:00,2021-12-12T05:55:02.000-05:00,56.54,48,76,0.41,0.3,12.5,93,71,100,95,100,97,461,2655,10472,8364,35280,23820,12540,3480,120,11160,1.46875,0,72,59,58,88,78,66,76,88,87
12/13/2021,73,60,46,98,96,71,70,100,21210,23280,2070,3090,10770,7350,132,91,270,11610,2021-12-12T23:28:11.000-05:00,2021-12-13T05:56:11.000-05:00,62.89,55,38,-0.01,0.27,12.625,83,65,78,78,100,96,348,2540,7919,6017,39540,26100,16680,1380,0,2700,1.40625,2,77,59,59,100,85,100,100,78,80
12/14/2021,74,68,55,99,74,78,72,85,23010,28260,5250,3720,11580,7710,152,81,300,13260,2021-12-13T23:48:03.000-05:00,2021-12-14T07:39:03.000-05:00,58.23,49,73,0.18,0.25,12.75,89,67,100,78,100,96,402,2605,9151,6885,35340,29880,16080,2340,0,2760,1.4375,0,70,63,61,89,87,87,69,86,47
